seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"345,345,25,98",seg_00479,1,commodity,1.0,0.0,4.604079039900977e-30,1.0
"381,159",seg_00522,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"381,18",seg_00523,1,commodity,1.0,0.0,2.111576288856443e-31,0.975609756097561
"391,328",seg_00529,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"40,102",seg_00532,1,commodity,1.0,0.0,8.938655881494657e-31,1.0
"402,268,307,397",seg_00534,1,commodity,1.0,0.0,2.5881441941323908e-31,1.0
"402,303,191",seg_00536,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"402,307",seg_00537,1,commodity,1.0,0.0,2.1115762888564133e-31,1.0
"402,400,94",seg_00538,1,commodity,1.0,0.0,2.068811629564568e-31,1.0
"51,381,186,327",seg_00566,1,commodity,1.0,0.0,1.5501155744179432e-31,1.0
"53,152",seg_00568,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"56,244",seg_00571,1,commodity,1.0,0.0,3.9341710115269177e-31,1.0
"59,104",seg_00578,1,commodity,1.0,0.0,1.3289873999675656e-31,1.0
"59,125,415",seg_00585,1,commodity,1.0,0.0,2.068811629564568e-31,1.0
"59,286,143",seg_00589,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"59,87,343",seg_00591,1,commodity,1.0,0.0,1.2390720481476231e-31,1.0
"66,67,89,336",seg_00601,1,commodity,1.0,0.0,5.112604294691317e-31,1.0
"67,53,402",seg_00606,1,commodity,1.0,0.0,1.3280021017230495e-31,1.0
"70,53",seg_00613,1,commodity,1.0,0.0,1.3554533962766253e-31,0.975609756097561
"71,387",seg_00616,1,commodity,1.0,0.0,3.756306991981453e-30,1.0
"72,343,47",seg_00619,1,commodity,1.0,0.0,1.2817896659250035e-31,1.0
"8,48,245,205",seg_00639,1,commodity,1.0,0.0,6.17247779143068e-31,1.0
"86,134,261",seg_00658,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"86,197",seg_00659,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"86,210",seg_00661,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"86,307",seg_00662,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"86,319",seg_00663,1,commodity,1.0,0.0,2.111576288856443e-31,1.0
"87,197,87",seg_00667,1,commodity,1.0,0.0,2.0688116295645975e-31,0.975609756097561
"89,336,65",seg_00677,1,commodity,1.0,0.0,1.722315190855837e-31,1.0
"91,86",seg_00687,1,commodity,1.0,0.0,8.938655881494657e-31,1.0
"98,134,261",seg_00698,1,commodity,1.0,0.0,2.0688116295645975e-31,1.0
"99,223,245,245,89",seg_00710,1,commodity,1.0,0.0,3.0423977228038823e-31,1.0
"99,234",seg_00711,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"99,257,28,87",seg_00713,1,commodity,1.0,0.0,1.5501155744179432e-31,1.0
"99,267,375",seg_00718,1,commodity,1.0,0.0,1.2817896659250035e-31,1.0
