0	0.610883
1	0.824794
10	0.313845
11	0.335510
12	0.573264
13	0.378117
14	0.385200
15	0.486125
16	0.445032
17	0.456060
18	0.185624
19	0.194687
2	0.860201
20	0.349093
21	0.321658
22	0.355245
23	0.385762
24	0.251463
25	0.382981
26	0.378117
27	0.343516
28	0.385200
29	0.386079
3	0.747972
30	0.318149
31	0.533386
32	0.346635
33	0.345458
34	0.333901
35	0.308448
36	0.219156
37	0.313845
38	0.373559
39	0.325095
4	0.809113
40	0.377228
41	0.373559
42	0.321658
43	0.500905
44	0.386470
45	0.306333
46	0.355245
47	0.321658
48	0.379867
5	0.801087
50	0.375615
6	0.661378
7	0.855447
8	0.787072
9	0.884454
