seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
12,seg_00008,29,proper_name,1.1226848389950608e-123,1.1226848389950608e-123,1.0,0.9411764705882353
17,seg_00009,29,proper_name,1.1226848389950608e-123,1.1226848389950608e-123,1.0,0.9411764705882353
16,seg_00010,23,proper_name,4.609298990281602e-221,4.609298990281602e-221,1.0,0.9411764705882353
9,seg_00011,23,proper_name,4.609298990281602e-221,4.609298990281602e-221,1.0,0.9411764705882353
33,seg_00012,21,proper_name,1.2623551128340363e-263,1.2623551128340363e-263,1.0,0.9411764705882353
43,seg_00013,19,proper_name,7.0204267588e-313,7.0204267588e-313,1.0,0.9411764705882353
38,seg_00014,9,proper_name,0.0,0.0,1.0,0.9411764705882353
32,seg_00015,5,proper_name,0.0,0.0,1.0,0.9411764705882353
31,seg_00016,3,proper_name,0.0,0.0,1.0,0.9411764705882353
1,seg_00001,52,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.9411764705882353
18,seg_00002,52,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.9411764705882353
2,seg_00003,52,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.9411764705882353
30,seg_00004,52,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.9411764705882353
4,seg_00005,52,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.9411764705882353
7,seg_00006,52,title,0.4999999995614592,0.4999999995614592,8.770810533678309e-10,0.9411764705882353
15,seg_00007,47,title,0.49986290849506904,0.49986290849506904,0.00027418300986320146,0.9411764705882353
