seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
12,seg_00028,8,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.6829268292682927
31,seg_00029,8,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.6829268292682927
45,seg_00030,8,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.6829268292682927
46,seg_00031,8,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.6829268292682927
50,seg_00032,8,proper_name,0.07914474404920145,0.07914474404920145,0.8417105119016026,0.6829268292682927
29,seg_00033,7,proper_name,0.006443817200132358,0.006443817200132358,0.9871123655997424,0.6829268292682927
10,seg_00034,6,proper_name,0.0005183279131745543,0.0005183279131745543,0.9989633441736563,0.975609756097561
43,seg_00035,5,proper_name,4.3433542881477046e-05,4.3433542881477046e-05,0.9999131329142414,0.975609756097561
7,seg_00036,5,proper_name,4.3433542881477046e-05,4.3433542881477046e-05,0.9999131329142414,0.975609756097561
11,seg_00037,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,0.975609756097561
18,seg_00038,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,0.975609756097561
20,seg_00039,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,0.975609756097561
26,seg_00040,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,0.975609756097561
27,seg_00041,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,1.0
34,seg_00042,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,1.0
35,seg_00043,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,1.0
47,seg_00044,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,1.0
8,seg_00045,4,proper_name,3.3460920173935673e-06,3.3460920173935673e-06,0.9999933078159664,1.0
25,seg_00046,2,proper_name,4.7316479747291816e-09,4.7316479747291816e-09,0.9999999905367076,1.0
39,seg_00047,1,proper_name,1.73931835244718e-11,1.73931835244718e-11,0.9999999999652118,1.0
48,seg_00048,1,proper_name,1.7393183524472048e-11,1.7393183524472048e-11,0.9999999999652118,1.0
2,seg_00001,32,title,0.49999999999999906,0.49999999999999906,1.0365135713568329e-66,0.975609756097561
1,seg_00002,25,title,0.49999999999999906,0.49999999999999906,1.418936964152395e-38,0.975609756097561
3,seg_00003,23,title,0.49999999999999906,0.49999999999999906,6.746785332105565e-32,0.975609756097561
6,seg_00004,23,title,0.49999999999999906,0.49999999999999906,6.746785332101442e-32,0.975609756097561
28,seg_00005,21,title,0.49999999999999906,0.49999999999999906,8.104867927368237e-26,0.975609756097561
19,seg_00006,20,title,0.49999999999999906,0.49999999999999906,5.326970136979854e-23,0.975609756097561
40,seg_00007,20,title,0.49999999999999906,0.49999999999999906,5.326970136979854e-23,0.975609756097561
21,seg_00008,18,title,0.49999999999999906,0.49999999999999906,8.373767321995066e-18,0.975609756097561
16,seg_00009,17,title,0.49999999999999906,0.49999999999999906,2.0149546908525047e-15,0.975609756097561
37,seg_00010,16,title,0.4999999999998285,0.4999999999998285,3.493156635447614e-13,0.975609756097561
44,seg_00011,15,title,0.4999999999780788,0.4999999999780788,4.383821476464371e-11,0.975609756097561
23,seg_00012,14,title,0.4999999979970288,0.4999999979970288,4.005935883335376e-09,0.975609756097561
4,seg_00013,14,title,0.4999999979970288,0.4999999979970288,4.005935883335376e-09,0.975609756097561
36,seg_00014,13,title,0.49999986576176103,0.49999986576176103,2.684764824189737e-07,0.975609756097561
13,seg_00015,12,title,0.4999933418215435,0.4999933418215435,1.3316356919036067e-05,0.975609756097561
14,seg_00016,12,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.975609756097561
24,seg_00017,12,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.975609756097561
32,seg_00018,12,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.975609756097561
33,seg_00019,12,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.975609756097561
49,seg_00020,12,title,0.4999933418215435,0.4999933418215435,1.331635691903739e-05,0.975609756097561
17,seg_00021,11,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.975609756097561
30,seg_00022,11,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.975609756097561
38,seg_00023,11,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.975609756097561
5,seg_00024,11,title,0.49975287225326975,0.49975287225326975,0.0004942554934637533,0.975609756097561
9,seg_00025,11,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.975609756097561
41,seg_00026,10,title,0.4931185791900949,0.4931185791900949,0.013762841619807696,0.975609756097561
42,seg_00027,9,title,0.38306374454281095,0.38306374454281095,0.2338725109143805,0.9512195121951219
