comp0,comp1,comp2
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
9.106181497098406e-174,1.0,0.0
0.0,1.0,0.0
0.0,0.9999999999995133,4.862010292053239e-13
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,0.9999999999999858,1.572685591153595e-14
0.0,0.0,1.0
0.0,0.0,1.0
8.635912133839207e-07,0.9999991364087862,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9449754020897735,0.0550245979102267,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999956675101,4.332490579314849e-09,0.0
0.9999999686159264,3.138407420018374e-08,0.0
0.9999999686159264,3.138407420018374e-08,0.0
0.9999999686159264,3.138407420018374e-08,0.0
0.9999999686159264,3.138407420018374e-08,0.0
0.9999999686159264,3.138407420018374e-08,0.0
0.9999994059745086,5.940254908644873e-07,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999058812366,9.411876322399787e-08,0.0
0.0,1.0,0.0
0.9999999058812366,9.411876322399787e-08,0.0
0.9999999058812366,9.411876322399787e-08,0.0
0.0,0.9999999999979678,2.0311794069130455e-12
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999999989679,0.0,1.0318986553644205e-12
0.9999999999989679,0.0,1.0318986553644205e-12
0.0,1.0,0.0
0.0,0.9999999999999929,6.764929433885571e-15
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999058812366,9.411876322399787e-08,0.0
0.0,1.0,0.0
0.9999999058812366,9.411876322399787e-08,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.9999999999999982,1.7084511180729818e-15
0.9999999999954063,4.594610794033797e-12,0.0
0.9999999999954063,4.594610794033797e-12,0.0
0.9999999999667182,3.3282844437330675e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.3282844437330675e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999999667182,3.328284443733588e-11,0.0
0.9999999977154932,2.284506623317119e-09,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999999001865,9.981305586230098e-11,0.0
0.0,0.0,1.0
0.999999999999984,0.0,1.5594002206254766e-14
0.0,1.0,0.0
0.0,1.0,0.0
1.0,0.0,1.1312343952457482e-15
0.0,0.0,1.0
0.999999999999984,0.0,1.5594002206255877e-14
0.0,0.0,1.0
0.0,1.0,0.0
1.0,0.0,1.1431515253910356e-15
0.0,0.0,1.0
0.9999999999008473,9.915306620320781e-11,0.0
0.9999999999008473,9.915306620320781e-11,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999999001865,9.981305586229319e-11,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999999999001865,9.981305586229319e-11,0.0
1.0,0.0,1.1312343952457482e-15
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
1.0,0.0,1.1312343952457482e-15
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,1.1508023915588849e-17
0.999999999999778,2.2223709237065665e-13,0.0
0.0,1.0,1.1508023915588849e-17
0.9999999999987708,1.2279724549879557e-12,0.0
0.9999999999987708,1.2279724549878509e-12,0.0
0.9999999999987708,1.227972454987899e-12,0.0
0.9999999999987708,1.2279724549876328e-12,0.0
0.9999999999987708,1.22797245498779e-12,0.0
0.999999999991104,8.895294514743356e-12,0.0
0.9999999999987708,1.2279724549878509e-12,0.0
0.9999999999987708,1.2279724549876853e-12,0.0
0.9999999999987708,1.2279724549878509e-12,0.0
0.9999999999987708,1.2279724549877418e-12,0.0
0.9999999999987708,1.2279724549876328e-12,0.0
0.9999999999987708,1.227972454987899e-12,0.0
