seg_key,seg_id,freq,docfreq,start_prob,end_prob,avg_pos,mean_len,H_left,H_right,H_total,avg_pmi_left,avg_pmi_right,numeric_assoc,burstiness,idf,coll_skew,examples,assigned_comp_idx,assigned_label,post_commodity,post_title,post_proper_name,log_odds_num_adj,g2_num_adj,stability
25,seg_00046,2,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961538458948462,5.157137753085257,0.0,"[(8, 0), (24, 0)]",2,proper_name,4.7316479747291816e-09,4.7316479747291816e-09,0.9999999905367076,0.0,0.0,1.0
39,seg_00047,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980769225579222,5.5626028611934215,0.0,"[(13, 0)]",2,proper_name,1.73931835244718e-11,1.73931835244718e-11,0.9999999999652118,0.0,0.0,1.0
48,seg_00048,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980769225579224,5.5626028611934215,0.0,"[(16, 0)]",2,proper_name,1.7393183524472048e-11,1.7393183524472048e-11,0.9999999999652118,0.0,0.0,1.0
2,seg_00001,32,32,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9384615384462884,2.7592424802868867,0.0,"[(18, 0), (32, 0), (44, 0), (51, 0), (63, 0), (77, 0), (89, 0), (116, 0), (146, 0), (161, 0)]",0,title,0.49999999999999906,0.49999999999999906,1.0365135713568329e-66,0.0,0.0,0.975609756097561
1,seg_00002,25,25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519230769032768,2.9976535037318848,0.0,"[(0, 0), (17, 0), (31, 0), (50, 0), (101, 0), (115, 0), (130, 0), (145, 0), (160, 0), (179, 0)]",0,title,0.49999999999999906,0.49999999999999906,1.418936964152395e-38,0.0,0.0,0.975609756097561
3,seg_00003,23,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557692307476224,3.077696211405421,0.0,"[(33, 0), (52, 0), (78, 0), (102, 0), (131, 0), (147, 0), (162, 0), (181, 0), (207, 0), (231, 0)]",0,title,0.49999999999999906,0.49999999999999906,6.746785332105565e-32,0.0,0.0,0.975609756097561
6,seg_00004,23,23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557692307476221,3.077696211405421,0.0,"[(35, 0), (53, 0), (90, 0), (117, 0), (132, 0), (149, 0), (164, 0), (182, 0), (219, 0), (246, 0)]",0,title,0.49999999999999906,0.49999999999999906,6.746785332101442e-32,0.0,0.0,0.975609756097561
28,seg_00005,21,21,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596153845916227,3.1647075883950513,0.0,"[(9, 0), (25, 0), (57, 0), (83, 0), (109, 0), (123, 0), (138, 0), (186, 0), (212, 0), (238, 0)]",0,title,0.49999999999999906,0.49999999999999906,8.104867927368237e-26,0.0,0.0,0.975609756097561
19,seg_00006,20,20,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615134613,3.211227604029944,0.0,"[(6, 0), (22, 0), (37, 0), (68, 0), (107, 0), (136, 0), (151, 0), (166, 0), (197, 0), (236, 0)]",0,title,0.49999999999999906,0.49999999999999906,5.326970136979854e-23,0.0,0.0,0.975609756097561
40,seg_00007,20,20,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615134613,3.211227604029944,0.0,"[(28, 0), (41, 0), (60, 0), (86, 0), (127, 0), (142, 0), (170, 0), (189, 0), (215, 0), (256, 0)]",0,title,0.49999999999999906,0.49999999999999906,5.326970136979854e-23,0.0,0.0,0.975609756097561
21,seg_00008,18,18,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9653846153567265,3.3113110625869266,0.0,"[(7, 0), (23, 0), (49, 0), (56, 0), (81, 0), (121, 0), (178, 0), (185, 0), (210, 0), (250, 0)]",0,title,0.49999999999999906,0.49999999999999906,8.373767321995066e-18,0.0,0.0,0.975609756097561
16,seg_00009,17,17,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673076922781041,3.3653782838572024,0.0,"[(5, 0), (21, 0), (80, 0), (93, 0), (120, 0), (135, 0), (209, 0), (222, 0), (249, 0), (264, 0)]",0,title,0.49999999999999906,0.49999999999999906,2.0149546908525047e-15,0.0,0.0,0.975609756097561
