0	0.605506
1	0.858688
10	0.568279
11	0.537476
12	0.590470
13	0.543775
14	0.592076
15	0.264622
16	0.537586
17	0.454550
18	0.529784
19	0.251463
2	0.800758
20	0.502807
21	0.529600
22	0.384543
23	0.501298
24	0.466896
25	0.471667
26	0.433910
27	0.518253
28	0.539736
29	0.526270
3	0.894757
30	0.579215
31	0.564475
32	0.579215
33	0.438471
34	0.510015
35	0.533386
36	0.595067
37	0.584149
38	0.563210
39	0.452094
4	0.892412
40	0.393980
41	0.612443
42	0.541623
43	0.565379
44	0.558076
45	0.605322
46	0.588762
47	0.479272
48	0.413039
49	0.455699
5	0.791187
50	0.601078
6	0.919700
7	0.898793
8	0.855638
9	0.870652
