seg_key,seg_id,freq,docfreq,start_prob,end_prob,avg_pos,mean_len,H_left,H_right,H_total,avg_pmi_left,avg_pmi_right,numeric_assoc,burstiness,idf,coll_skew,examples,assigned_comp_idx,assigned_label,post_commodity,post_title,post_proper_name,log_odds_num_adj,g2_num_adj,stability
"171,343,155",seg_00235,1,1,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-0.8670658085957221,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(212, 3)]",0,commodity,1.0,0.0,1.2390720481476231e-31,2.517714255288885,0.0,0.975609756097561
"176,180,175,307,244",seg_00253,1,1,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.4451205803704461,1.0,0.9982046673075545,5.631211781821365,0.5,"[(305, 0)]",0,commodity,1.0,0.0,8.99018844983976e-31,2.517714255288885,0.0,0.975609756097561
"176,330",seg_00259,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(197, 2)]",0,commodity,1.0,0.0,2.111576288856443e-31,2.517714255288885,0.0,1.0
"176,68,86",seg_00261,1,1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.4421826146304566,1.0,0.9982046673075547,5.631211781821365,0.5,"[(355, 0)]",0,commodity,1.0,0.0,3.962375047773256e-31,2.517714255288885,0.0,1.0
"180,149,104",seg_00263,1,1,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(545, 3)]",0,commodity,1.0,0.0,2.0688116295645975e-31,2.517714255288885,0.0,1.0
"180,149,223",seg_00264,1,1,0.0,1.0,1.0,3.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075545,5.631211781821365,0.5,"[(15, 3)]",0,commodity,1.0,0.0,2.0688116295645975e-31,2.517714255288885,0.0,1.0
"180,175,252,391",seg_00266,1,1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.8856353895902958,1.0,0.9982046673075549,5.631211781821365,0.5,"[(457, 0)]",0,commodity,1.0,0.0,4.604079039900977e-30,2.517714255288885,0.0,1.0
"180,178,89,336",seg_00268,1,1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-0.09387592036224035,1.0,0.9982046673075549,5.631211781821365,0.5,"[(406, 0)]",0,commodity,1.0,0.0,4.548270735946724e-31,2.517714255288885,0.0,1.0
"180,343",seg_00269,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075547,5.631211781821365,0.5,"[(539, 4)]",0,commodity,1.0,0.0,2.111576288856443e-31,2.517714255288885,0.0,1.0
"180,54",seg_00271,1,1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,-1.8856353895902958,0.0,1.0,0.9982046673075549,5.631211781821365,0.5,"[(393, 3)]",0,commodity,1.0,0.0,2.1115762888564133e-31,2.517714255288885,0.0,0.975609756097561
